,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2622,2024,SE,FT,Data Scientist,172000,USD,172000,US,on site,US,M
2625,2024,SE,FT,Research Scientist,600000,USD,600000,US,on site,US,M
2626,2024,SE,FT,Research Scientist,280000,USD,280000,US,on site,US,M
2627,2024,SE,FT,Prompt Engineer,600000,USD,600000,US,on site,US,M
2628,2024,SE,FT,Prompt Engineer,280000,USD,280000,US,on site,US,M
2629,2024,SE,FT,Data Science,180000,USD,180000,US,on site,US,M
2630,2024,SE,FT,Data Science,160000,USD,160000,US,on site,US,M
2631,2024,EN,FT,Data Analyst,184180,USD,184180,US,on site,US,M
2632,2024,EN,FT,Data Analyst,159870,USD,159870,US,on site,US,M
2633,2024,SE,FT,Data Scientist,195000,USD,195000,US,on site,US,M
2635,2024,SE,FT,Research Scientist,500000,USD,500000,US,remote,US,M
2636,2024,SE,FT,Research Scientist,180000,USD,180000,US,remote,US,M
2638,2024,SE,FT,Data Scientist,137500,USD,137500,US,on site,US,M
2643,2024,EN,FT,Data Analyst,291900,USD,291900,US,on site,US,M
2644,2024,EN,FT,Data Analyst,103800,USD,103800,US,on site,US,M
2645,2024,SE,FT,Data Science,234000,USD,234000,US,on site,US,M
2646,2024,SE,FT,Data Science,146000,USD,146000,US,on site,US,M
2649,2024,MI,FT,Data Science Consultant,160000,USD,160000,US,remote,US,M
2650,2024,MI,FT,Data Science Consultant,70000,USD,70000,US,remote,US,M
2651,2024,SE,FT,Research Engineer,179000,USD,179000,US,on site,US,M
2653,2024,EN,FT,Data Management Analyst,145000,USD,145000,US,on site,US,M
2654,2024,EN,FT,Data Management Analyst,120000,USD,120000,US,on site,US,M
2655,2024,MI,FT,Data Scientist,142100,USD,142100,US,on site,US,M
2656,2024,MI,FT,Data Scientist,94700,USD,94700,US,on site,US,M
2657,2024,MI,FT,AI Engineer,166000,USD,166000,US,on site,US,M
2658,2024,MI,FT,AI Engineer,73100,USD,73100,US,on site,US,M
2659,2024,SE,FT,Data Science Consultant,145000,USD,145000,US,on site,US,M
2665,2024,EX,FT,Data Engineer,334075,USD,334075,CA,on site,CA,M
2666,2024,EX,FT,Data Engineer,268500,USD,268500,CA,on site,CA,M
2667,2024,SE,FT,Data Scientist,230000,USD,230000,US,on site,US,M
2669,2024,SE,FT,Research Analyst,212000,USD,212000,US,on site,US,M
2670,2024,SE,FT,Research Analyst,93300,USD,93300,US,on site,US,M
2671,2024,EN,FT,Data Operations Analyst,110500,USD,110500,US,on site,US,M
2672,2024,EN,FT,Data Operations Analyst,69000,USD,69000,US,on site,US,M
